"Site1","Site2","BetaNTI","RCBC","Assembly_Process.BetaNTI","Assembly_Process.RCBC","Assembly_Process","TempConditionType","EpochType","Assembly_Process_expl","StochasticDeterministic","RCBC.nona"
"D259.9","D131.5",-1.64142346836281,-0.056,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.056
"D261.2","D131.5",-1.86533849705527,-0.03,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.03
"D271.1","D131.5",-0.939629703462687,0.456,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.456
"D275.0","D131.5",-1.09786159756173,0.0640000000000001,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",0.0640000000000001
"D173.7","D134.2",-3.25409375927993,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.904
"D173.9","D134.2",-2.39992807777413,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.9
"D180.9","D134.2",-2.40585747297222,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.746
"D187.9","D134.2",-3.16779308346611,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.884
"D198.7","D134.2",-2.94012155778948,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.396
"D205.3","D134.2",-0.895506506875849,-0.792,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.792
"D207.6","D134.2",-2.84988362857172,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.678
"D223.1","D134.2",-2.17950104805373,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.966
"D224.9","D134.2",-2.49423574539365,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.612
"D231.0","D134.2",-2.35282040524903,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.89
"D243.9","D134.2",-1.60196595109738,-0.902,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.902
"D245.1","D134.2",-2.61309295210008,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.914
"D259.9","D134.2",-2.49101402527439,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.502
"D261.2","D134.2",-3.23045382982177,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.6
"D271.1","D134.2",-2.4900448292505,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.598
"D275.0","D134.2",-2.43925547162899,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.746
"D276.6","D134.2",-1.79664915323494,-0.00600000000000001,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",-0.00600000000000001
"D282.1","D134.2",-1.52637053549776,0.106,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.106
"D296.9","D134.2",-1.84274181180542,0.908,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.908
"D303.5","D134.2",-2.64140818875981,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.379
"D307.5","D134.2",-1.94381988470914,0.824,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.824
"D308.7","D134.2",-1.40422847614054,0.42,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.42
"D173.9","D173.7",-4.31310640276872,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.66
"D180.9","D173.7",-1.33300466934678,-0.978,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS","Stochastic","Stochastic",-0.978
"D187.9","D173.7",-4.04437712182473,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.83
"D198.7","D173.7",-4.07892923977228,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.84
"D205.3","D173.7",-2.00217195935951,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.342
"D207.6","D173.7",-3.01014069117425,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.924
"D223.1","D173.7",-4.27691926597363,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.588
"D224.9","D173.7",-3.40486284580173,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.716
"D231.0","D173.7",-0.928918554329633,-0.942,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.942
"D243.9","D173.7",-2.73902451220711,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.266
"D245.1","D173.7",-4.28944794889702,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.346
"D259.9","D173.7",-1.48895706997387,-0.636,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.636
"D261.2","D173.7",-3.75957578711417,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.826
"D271.1","D173.7",-3.61916747128602,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.71
"D275.0","D173.7",-1.71960075807913,-0.704,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.704
"D276.6","D173.7",-1.83373487225532,0.191,NA,"Drift","Drift","Cold-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.191
"D282.1","D173.7",-1.35020561248807,0.574,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.574
"D296.9","D173.7",-1.7965596715857,0.996,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.996
"D303.5","D173.7",-2.52068867422981,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.842
"D307.5","D173.7",-1.67023977198501,0.996,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.996
"D308.7","D173.7",-1.11061860762283,0.91,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.91
"D180.9","D173.9",-1.43646924285887,-0.956,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS","Stochastic","Stochastic",-0.956
"D187.9","D173.9",-3.84532947666458,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.802
"D198.7","D173.9",-4.9901376518718,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.926
"D205.3","D173.9",-2.48288797721093,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.72
"D207.6","D173.9",-2.70162366485043,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.808
"D223.1","D173.9",-4.66931840537032,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.312
"D224.9","D173.9",-2.97558625270881,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.034
"D231.0","D173.9",-0.494196278504527,-0.966,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS","Stochastic","Stochastic",-0.966
"D243.9","D173.9",-4.17352417747498,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.584
"D245.1","D173.9",-2.45475895098525,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.27
"D259.9","D173.9",-1.63180524032738,-0.292,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.292
"D261.2","D173.9",-3.45135875959552,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.556
"D271.1","D173.9",-2.41614425240005,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.34
"D275.0","D173.9",-1.51881106747755,-0.856,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.856
"D276.6","D173.9",-1.60237416998799,0.25,NA,"Drift","Drift","Cold-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.25
"D282.1","D173.9",-1.2403627890098,0.568,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.568
"D296.9","D173.9",-1.69314442598755,0.996,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.996
"D303.5","D173.9",-2.26950250218329,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.926
"D307.5","D173.9",-1.26277643403555,0.994,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.994
"D308.7","D173.9",-0.992504345770484,0.952,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.952
"D187.9","D180.9",-0.791194329812856,-0.948,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.948
"D198.7","D180.9",-1.62983208553026,0.044,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",0.044
"D205.3","D180.9",-1.52749485083171,-0.988,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS","Stochastic","Stochastic",-0.988
"D207.6","D180.9",-2.19552838508185,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.856
"D223.1","D180.9",-1.6283831383299,-0.924,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.924
"D224.9","D180.9",-2.18236003853998,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.95
"D231.0","D180.9",-2.18666412632145,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.95
"D243.9","D180.9",-1.90950130617228,-0.85,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.85
"D245.1","D180.9",-3.01345965564777,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.89
"D259.9","D180.9",-1.4264905949638,-0.842,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.842
"D261.2","D180.9",-1.13103151579255,-0.92,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.92
"D271.1","D180.9",0.102068874248688,-0.974,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","LGS","Stochastic","Stochastic",-0.974
"D275.0","D180.9",-1.86926780482358,-0.892,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.892
"D276.6","D180.9",-1.81523028983313,-0.226,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",-0.226
"D282.1","D180.9",-1.5373457865941,0.186,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.186
"D296.9","D180.9",-1.82044854268177,0.916,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.916
"D303.5","D180.9",-2.7693900820557,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.82
"D307.5","D180.9",-1.85581307645854,0.936,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.936
"D308.7","D180.9",-1.66510553579059,0.806,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.806
"D198.7","D187.9",-3.27274414942649,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.54
"D205.3","D187.9",-0.685243672553202,-0.59,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.59
"D207.6","D187.9",-2.52370405662869,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.762
"D223.1","D187.9",-3.88701535654085,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.864
"D224.9","D187.9",-2.75231114749917,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.548
"D231.0","D187.9",-1.70240925269075,-0.97,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Warm","LGS","Stochastic","Stochastic",-0.97
"D243.9","D187.9",-3.1009432818997,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.406
"D245.1","D187.9",-4.00832433363315,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.36
"D259.9","D187.9",-1.5060636071968,-0.688,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.688
"D261.2","D187.9",-2.2807295573742,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.752
"D271.1","D187.9",-1.41339797174033,-0.578,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.578
"D275.0","D187.9",-1.50820300035711,-0.754,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.754
"D276.6","D187.9",-1.77717348111329,0.15,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.15
"D282.1","D187.9",-1.47222168997467,0.556,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.556
"D296.9","D187.9",-1.7354277814308,0.986,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.986
"D303.5","D187.9",-2.6209925051601,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.786
"D307.5","D187.9",-1.54407238706542,0.98,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.98
"D308.7","D187.9",-1.50566453730484,0.788,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.788
"D205.3","D198.7",-1.04612734426786,0.992,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Cold-Cold","LGS","Stochastic","Stochastic",0.992
"D207.6","D198.7",-3.24088593629199,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.206
"D223.1","D198.7",-4.83634827024127,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.858
"D224.9","D198.7",-2.96267188672328,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.894
"D231.0","D198.7",-3.45437027012229,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.0600000000000001
"D243.9","D198.7",-4.13570824920425,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.93
"D245.1","D198.7",-4.50871661803763,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.798
"D259.9","D198.7",-2.77420331529562,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.534
"D261.2","D198.7",-3.56891814917666,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.352
"D271.1","D198.7",-2.4668894771592,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.848
"D275.0","D198.7",-1.44690571974266,0.038,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",0.038
"D276.6","D198.7",-1.57332385093116,0.374,NA,"Drift","Drift","Cold-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.374
"D282.1","D198.7",-1.3460743123833,0.118,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.118
"D296.9","D198.7",-1.773408895329,0.998,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.998
"D303.5","D198.7",-1.62068336154156,0.764,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.764
"D307.5","D198.7",-0.559112534140927,0.99,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.99
"D308.7","D198.7",-0.265380198965802,0.796,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.796
"D207.6","D205.3",-1.9060674242964,-0.946,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.946
"D223.1","D205.3",-2.35606785602173,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.63
"D224.9","D205.3",-3.93257720791771,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.506
"D231.0","D205.3",3.1195316039716,NA,"Heterogenous selection",NA,"Heterogenous selection","Warm-Cold","LGS","Heterogenous (biotic) selection","Deterministic",-0.996
"D243.9","D205.3",-5.057605335166,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.982
