"Site1","Site2","BetaNTI","RCBC","Assembly_Process.BetaNTI","Assembly_Process.RCBC","Assembly_Process","TempConditionType","EpochType","Assembly_Process_expl","StochasticDeterministic","RCBC.nona"
"D261.2","D231.0",-2.94363454854142,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS","Homogenous (abiotic) selection","Deterministic",-0.824
"D271.1","D231.0",-0.927582771118303,-0.77,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.77
"D275.0","D231.0",-1.97842297757774,-0.818,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.818
"D276.6","D231.0",-1.95195191574694,-0.166,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",-0.166
"D282.1","D231.0",-1.63010543838581,0.198,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.198
"D296.9","D231.0",-1.96420487224164,0.9,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.9
"D303.5","D231.0",-2.80152670648838,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.536
"D307.5","D231.0",-1.65718804047729,0.804,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.804
"D308.7","D231.0",-1.42086781751361,0.549,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.549
"D245.1","D243.9",-3.73395583336647,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.052
"D259.9","D243.9",-2.20912186527644,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.258
"D261.2","D243.9",-3.72396649327915,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.328
"D271.1","D243.9",-3.02833731465863,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",0.27
"D275.0","D243.9",-2.66851690775516,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.656
"D276.6","D243.9",-1.82477401223841,0.132,NA,"Drift","Drift","Cold-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.132
"D282.1","D243.9",-1.54949590567475,0.726,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.726
"D296.9","D243.9",-1.48947614025313,1,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",1
"D303.5","D243.9",-2.13698562334712,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.83
"D307.5","D243.9",-0.89135642933877,1,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",1
"D308.7","D243.9",-1.59539075158348,0.918,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.918
"D259.9","D245.1",-2.41954589382817,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.226
"D261.2","D245.1",-3.77116149607452,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.628
"D271.1","D245.1",-3.4375851014659,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.206
"D275.0","D245.1",-2.83189755080434,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.664
"D276.6","D245.1",-1.9245216409919,0.264,NA,"Drift","Drift","Cold-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.264
"D282.1","D245.1",-1.58616195819706,0.598,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.598
"D296.9","D245.1",-1.9380429642398,0.996,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.996
"D303.5","D245.1",-2.50545370478363,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.724
"D307.5","D245.1",-2.23410459566049,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.996
"D308.7","D245.1",-1.27930421635283,0.868,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.868
"D261.2","D259.9",-1.56522210977644,-0.914,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.914
"D271.1","D259.9",-1.49925381973314,-0.61,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.61
"D275.0","D259.9",-1.89237765471058,-0.424,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.424
"D276.6","D259.9",-1.95032342991423,-0.042,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",-0.042
"D282.1","D259.9",-1.87943918478702,0.481,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.481
"D296.9","D259.9",-2.20539882369444,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.97
"D303.5","D259.9",-2.97431793151365,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.812
"D307.5","D259.9",-2.31757429359209,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.968
"D308.7","D259.9",-1.45856314216938,0.802,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.802
"D271.1","D261.2",-3.04719945365402,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS","Homogenous (abiotic) selection","Deterministic",-0.918
"D275.0","D261.2",-1.8299490970619,-0.44,NA,"Drift","Drift","Warm-Warm","LGS","Stochastic","Stochastic",-0.44
"D276.6","D261.2",-2.01640952546157,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.026
"D282.1","D261.2",-1.89273217030915,0.34,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.34
"D296.9","D261.2",-2.10925390047394,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.96
"D303.5","D261.2",-2.81524590817877,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.752
"D307.5","D261.2",-2.37916538181798,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.962
"D308.7","D261.2",-1.5251611671527,0.844,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.844
"D275.0","D271.1",-1.27528521227107,-0.618,NA,"Drift","Drift","Warm-Cold","LGS","Stochastic","Stochastic",-0.618
"D276.6","D271.1",-2.1558719400245,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.044
